artifactNumber	ObjectName	BeginDate	group1	category1	material	Length	Width	Height	image
1968.0115.001	Level	1891	Nature	Measurement-distance	metal->brass;glass	12.1 cm	12.7 cm	30.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0115.001.aa.cs.png
1968.0116.001	"""Tripod, transit"""	1940	Nature	Survey equipment	metal->brass;wood->;fibre->canvas;skin->leather	61.0 cm	12.7 cm	58.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0116.001.aa.cs.png
1968.0119.001	Magnifier	1917	Technology	Telegraphy	wood->;metal->brass;metal->tin;metal->iron;glass;fibre;paper	137.2 cm	68.7 cm	51.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0119.001.aa.cs.png
1968.0119.002	Galvanometer	Unknown	Technology	Telegraphy	metal->brass;glass;synthetic - possible	9.4 cm	8.8 cm	19.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0119.002.aa.cs.png
1968.0119.009	Rheostat	Unknown	Technology	Telegraphy	wood->;metal->brass;glass	28.3 cm	24.0 cm	19.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0119.009.aa.cs.png
1968.0119.010	Magnet	Unknown	Technology	Telegraphy	metal->brass;metal;synthetic;paper	40.0 cm	31.5 cm	18.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0119.010.aa.cs.png
1968.0119.014	"""Cell, selenium"""	Unknown	Technology	Telegraphy	metal->brass;stone->selenium;stone->mica	19.2 cm	19.0 cm	6.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0119.014.aa.cs.png
1968.0119.015	"""Case, instrument"""	Unknown	Technology	Telegraphy	wood;metal;fibre;;paper	25.5 cm	24.7 cm	9.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0119.015.aa.cs.png
1968.0119.016	"""Case, instrument"""	Unknown	Technology	Telegraphy	wood;metal;fibre	25.3 cm	16.3 cm	18.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0119.016.aa.cs.png
1968.0125.001	Wrench	Unknown	Technology	Tools-Hand	metal->steel	50.8 cm	8.8 cm	3.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0125.001.aa.cs.png
1968.0127.001	"""Switch, automotive"""	Unknown	Transport	Automotive parts	Unknown	15.2 cm	12.8 cm	5.1 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0127.001.aa.cs.png
1968.0131.001	Carrier system	1950	Technology	Telephony	metal;synthetic;glass	52.0 cm	38.0 cm	213.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0131.001.aa.cs.png
1968.0139.001	Telephone	1911	Technology	Telephony	wood->oak;metal->brass;metal->steel;metal->copper;synthetic->bakelite;synthetic->plastic;fibre	25.5 cm	16.4 cm	57.8 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0139.001.aa.cs.png
1968.0140.001	"""Clock, time"""	1900	Technology	Telephony	wood->;glass->;metal->brass	73.0 cm	32.0 cm	176.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0140.001.aa.cs.png
1968.0146.001	"""Repeater, telegraph"""	1930	Technology	Telegraphy	metal;synthetic;wood;glass	52.0 cm	38.0 cm	158.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0146.001.aa.cs.png
1968.0147.001	"""Test cabinet, telephone"""	1930	Technology	Telephony	wood;metal;synthetic	74.0 cm	41.0 cm	57.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0147.001.aa.cs.png
1968.0149.001	Carrier system	1945	Technology	Telephony	metal;synthetic	69.5 cm	28.0 cm	59.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0149.001.aa.cs.png
1968.0165.001	Automobile	1931	Transport	Automotive vehicles	metal->;skin->leather;fibre->canvas;glass	488.0 cm	178.0 cm	186.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0165.001.aa.cs.png
1968.0166.001	Automobile	1933	Transport	Automotive vehicles	Unknown	467.0 cm	167.0 cm	183.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0166.001.aa.cs.png
1968.0168.001	Automobile	1934	Transport	Automotive vehicles	Unknown	494.0 cm	166.0 cm	161.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0168.001.aa.cs.png
1968.0169.001	Automobile	1916	Transport	Automotive vehicles	Unknown	494.0 cm	166.0 cm	161.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0169.001.aa.cs.png
1968.0170.001	Automobile	1938	Transport	Automotive vehicles	Unknown	494.0 cm	166.0 cm	161.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0170.001.aa.cs.png
1968.0172.001	Automobile	1928	Transport	Automotive vehicles	Unknown	494.0 cm	166.0 cm	161.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0172.001.aa.cs.png
1968.0175.001	"""Dictating machine, cylinder"""	Unknown	Technology	Sound	metal	44.5 cm	33.0 cm	83.8 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0175.001.aa.cs.png
1968.0176.001	"""Dictating machine, cylinder"""	Unknown	Technology	Sound	metal	53.3 cm	30.5 cm	78.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0176.001.aa.cs.png
1968.0180.001	"""Player, cylinder"""	1905	Technology	Sound	wood->oak;metal->brass	48.3 cm	48.3 cm	43.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0180.001.aa.cs.png
1968.0182.001	Tractor	1914	Nature	Power sources	metal->;wood->;resin->rubber	442.0 cm	200.7 cm	188.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0182.001.aa.cs.png
1968.0189.001	Bellows	Unknown	Technology	Tools & equipment-trades	wood->;skin->leather;metal->iron	160.0 cm	260.0 cm	6850.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0189.001.aa.cs.png
1968.0190.001	Grinder	Unknown	Technology	Tool maintenance	metal->cast-iron;metal->brass;wood	45.7 cm	22.9 cm	43.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0190.001.aa.cs.png
1968.0192.001	"""Press, copy"""	1900	Craft	Duplication	metal->iron	33.0 cm	44.5 cm	29.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0192.001.aa.cs.png
1968.0194.001	Vise	Unknown	Technology	Tools & equipment-trades	metal->steel	66.0 cm	15.2 cm	61.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0194.001.aa.cs.png
1968.0198.001	Auger	Unknown	Technology	Tools-Hand	metal->steel;wood->;skin->leather	53.3 cm	48.3 cm	7.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0198.001.aa.cs.png
1968.0200.001	Mallet	Unknown	Technology	Tools-Hand	wood->;metal->iron	64.8 cm	14.0 cm	31.8 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0200.001.aa.cs.png
1968.0202.001	Telephone	1908	Technology	Telephony	wood->oak;metal->brass;metal->steel;synthetic->bakelite;synthetic->plastic;paper;fibre	23.0 cm	21.0 cm	30.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0202.001.aa.cs.png
1968.0204.001	Drawknife	Unknown	Technology	Tools-Hand	metal->iron;wood	40.0 cm	27.0 cm	6.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0204.001.aa.cs.png
1968.0209.001	Hammer head	Unknown	Technology	Tools-Hand	metal->iron	15.6 cm	4.7 cm	3.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0209.001.aa.cs.png
1968.0210.001	Hardy	Unknown	Technology	Tools & equipment-trades	metal->steel	3.3 cm	3.6 cm	10.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0210.001.aa.cs.png
1968.0211.001	Die	Unknown	Technology	Tools & equipment-trades	metal->steel	10.0 cm	7.8 cm	10.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0211.001.aa.cs.png
1968.0218.001	Telephone replica	Unknown	Technology	Telephony	Unknown	12.7 cm	19.1 cm	1.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0218.001.aa.cs.png
1968.0220.001	Theodolite	1945	Nature	Measurement-angles	metal->brass;metal->steel	45.7 cm	26.0 cm	21.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0220.001.aa.cs.png
1968.0222.001	"""Receiver, radio"""	1966	Technology	Radio	metal->;synthetic->plastic	31.1 cm	22.7 cm	15.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0222.001.aa.cs.png
1968.0224.001	Adze head	Unknown	Technology	Tools-Hand	metal	22.0 cm	11.5 cm	12.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0224.001.aa.cs.png
1968.0225.001	Iron	Unknown	Technology	Laundry	metal->iron	17.0 cm	8.9 cm	4.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0225.001.aa.cs.png
1968.0226.001	Iron	1888	Technology	Laundry	metal->iron;metal->steel;metal->brass;wood	22.7 cm	20.5 cm	9.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0226.001.aa.cs.png
1968.0229.001	Plane	1862	Technology	Tools-Hand	wood;metal	19.1 cm	4.1 cm	5.1 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0229.001.aa.cs.png
1968.0230.001	Plane	Unknown	Technology	Tools-Hand	wood->;metal->steel	55.9 cm	7.6 cm	7.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0230.001.aa.cs.png
1968.0231.001	Auger	Unknown	Technology	Tools-Hand	metal->iron;wood	46.0 cm	34.5 cm	3.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0231.001.aa.cs.png
1968.0238.001	"""Basket, fire"""	Unknown	Nature	Tools & equipment	metal	25.4 cm	58.4 cm	109.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0238.001.aa.cs.png
1968.0242.001	"""Mould, candle"""	Unknown	Technology	Cottage industries	metal->tin	21.6 cm	14.0 cm	27.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0242.001.aa.cs.png
1968.0245.001	"""Receiver, radio"""	1922	Technology	Radio	wood->;synthetic->bakelite - possible;synthetic->plastic - possible;metal;fibre	27.9 cm	16.5 cm	17.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0245.001.aa.cs.png
1968.0247.001	Peeler	1882	Technology	Food processing	metal->cast-iron;metal->steel;wood	17.8 cm	20.3 cm	15.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0247.001.aa.cs.png
1968.0249.001	"""Spoon, butter"""	Unknown	Nature	Dairying	wood	29.0 cm	11.5 cm	7.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0249.001.aa.cs.png
1968.0250.001	Hinge	Unknown	Technology	Miscellaneous	metal->iron	12.1 cm	12.1 cm	30.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0250.001.aa.cs.png
1968.0251.001	"""Dasher, butter"""	Unknown	Nature	Dairying	wood->;metal->iron	25.4 cm	25.4 cm	114.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0251.001.aa.cs.png
1968.0254.001	"""Table, spotting"""	1954	Nature	Survey equipment	wood->;synthetic->plastic;metal;fibre	45.7 cm	71.1 cm	20.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0254.001.aa.cs.png
1968.0261.001	"""Box, resistance"""	1915	Technology	Telegraphy	wood->;synthetic->bakelite;metal->copper;metal->iron;metal->steel;fibre->felt	22.7 cm	12.3 cm	5.8 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0261.001.aa.cs.png
1968.0262.001	"""Press, Craft"""	1905	Craft	Image transfer	metal->steel;wood	310.0 cm	110.00000000000001 cm	120.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0262.001.aa.cs.png
1968.0263.001	Trap	1880	Transport	Animal powered	wood;metal;fibre;resin	253.0 cm	164.0 cm	180.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0263.001.aa.cs.png
1968.0269.001	"""Receiver, radio"""	1924	Technology	Radio	wood->;synthetic->bakelite;metal;glass	19.7 cm	16.5 cm	16.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0269.001.aa.cs.png
1968.0270.001	"""Receiver, radio"""	1922	Technology	Radio	wood->;synthetic->bakelite;metal;glass	21.0 cm	20.3 cm	16.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0270.001.aa.cs.png
1968.0271.001	"""Receiver, radio"""	1924	Technology	Radio	wood->oak;synthetic->bakelite;metal;glass	26.7 cm	25.4 cm	22.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0271.001.aa.cs.png
1968.0272.001	"""Receiver, radio"""	Unknown	Technology	Radio	wood->;synthetic->bakelite;metal;glass;fibre	25.4 cm	68.5 cm	22.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0272.001.aa.cs.png
1968.0273.001	"""Receiver, radio"""	1921	Technology	Radio	wood->oak - possible;metal->brass - possible;metal->copper;metal->iron - possible;synthetic->bakelite;glass	76.2 cm	25.4 cm	25.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0273.001.aa.cs.png
1968.0274.001	"""Receiver, radio"""	1920	Technology	Radio	wood->oak - possible;metal->copper - possible;metal->brass - possible;metal->iron;synthetic->bakelite;glass	20.3 cm	55.9 cm	22.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0274.001.aa.cs.png
1968.0275.001	Telephone	1915	Technology	Telephony	wood->oak;metal->brass;metal->steel	33.0 cm	30.0 cm	47.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0275.001.aa.cs.png
1968.0287.001	"""Cart, ice"""	Unknown	Transport	Operations	metal->;resin->rubber;wood	100.0 cm	180.0 cm	100.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0287.001.aa.cs.png
1968.0288.001	Ship model	1940	Transport	Models	wood;synthetic;metal	195.0 cm	29.0 cm	38.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0288.001.aa.cs.png
1968.0290.001	Generator	Unknown	Technology	Generation	metal->cast-iron;metal->steel;metal->copper	38.1 cm	44.5 cm	35.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0290.001.aa.cs.png
1968.0297.001	Power station model	1961	Technology	Generation	metal;wood	38.1 cm	30.5 cm	24.1 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0297.001.aa.cs.png
1968.0299.001	Wheel	Unknown	Transport	Automotive parts	metal->steel;wood	50.8 cm	50.8 cm	13.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0299.001.aa.cs.png
1968.0306.001	"""Ringer bay, telephone"""	1930	Technology	Telephony	metal;synthetic;glass	52.0 cm	32.0 cm	160.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0306.001.aa.cs.png
1968.0308.001	Carrier terminal	1926	Technology	Telephony	metal;synthetic;glass	60.0 cm	27.0 cm	360.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0308.001.aa.cs.png
1968.0309.001	Clock	1918	Numbers	Clocks	wood;metal;glass;paper	36.0 cm	11.0 cm	55.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0309.001.aa.cs.png
1968.0310.001	"""Combination set, telegraph"""	1870	Technology	Telegraphy	metal->brass;resin->rubber;resin->ebonite	19.5 cm	14.5 cm	11.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0310.001.aa.cs.png
1968.0311.001	"""Combination set, telegraph"""	1881	Technology	Telegraphy	metal->brass;resin->rubber;resin->ebonite;ceramic->porcelain;wood	25.0 cm	16.2 cm	8.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0311.001.aa.cs.png
1968.0312.001	Telephone	Unknown	Technology	Telephony	wood;metal;synthetic	51.5 cm	35.0 cm	18.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0312.001.aa.cs.png
1968.0319.001	Transit	1913	Nature	Measurement-angles	metal->brass;metal->steel;metal->silver;glass->;wood->;skin->leather	41.9 cm	21.6 cm	19.1 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0319.001.aa.cs.png
1968.0320.001	Theodolite	Unknown	Nature	Measurement-angles	metal->brass;metal->steel;metal->cast-iron;glass	22.9 cm	33.0 cm	33.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0320.001.aa.cs.png
1968.0321.001	Photoalidade	1945	Nature	Photogrammetry	metal->brass - possible;metal->aluminum - possible;glass	119.4 cm	61.0 cm	67.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0321.001.aa.cs.png
1968.0322.001	Photoalidade	Unknown	Nature	Photogrammetry	metal->iron;metal->brass;glass	64.8 cm	40.6 cm	44.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0322.001.aa.cs.png
1968.0329.001	Compass	1895	Nature	Measurement-direction	Unknown	5.7 cm	15.2 cm	5.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0329.001.aa.cs.png
1968.0330.001	Compass	Unknown	Nature	Measurement-direction	Unknown	10.2 cm	13.3 cm	3.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0330.001.aa.cs.png
1968.0331.001	"""Astrolabe, prismatic"""	1922	Nature	Measurement-position	metal->brass;wood;glass	27.3 cm	22.2 cm	20.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0331.001.aa.cs.png
1968.0333.001	Clinometer	1927	Nature	Measurement-angles	metal->;glass->;skin->leather	23.8 cm	6.0 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0333.001.aa.cs.png
1968.0334.001	Divider & liner	Unknown	Numbers	Drawing & measuring instruments	Unknown	8.9 cm	38.1 cm	57.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0334.001.aa.cs.png
1968.0340.001	"""Key action model, piano"""	Unknown	Technology	Music	wood->;fibre->felt	45.7 cm	7.6 cm	26.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0340.001.aa.cs.png
1968.0342.001	"""Pin block sample, piano"""	Unknown	Technology	Music	wood->maple;metal->steel	6.4 cm	8.9 cm	3.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0342.001.aa.cs.png
1968.0344.001	Clock	1850	Numbers	Clocks	wood;glass;metal	40.0 cm	13.0 cm	81.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0344.001.aa.cs.png
1968.0348.001	Sign	1920	Transport	Miscellaneous	metal->brass	49.0 cm	48.5 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.001.aa.cs.png
1968.0348.002	Unknown	Unknown	Transport	Miscellaneous	metal->brass	45.5 cm	42.5 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.002.aa.cs.png
1968.0348.003	Unknown	Unknown	Transport	Miscellaneous	metal->brass	46.0 cm	10.5 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.003.aa.cs.png
1968.0348.004	Unknown	Unknown	Transport	Miscellaneous	metal->brass	45.5 cm	45.0 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.004.aa.cs.png
1968.0348.005	Unknown	Unknown	Transport	Miscellaneous	metal->brass	45.5 cm	42.5 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.005.aa.cs.png
1968.0348.006	Unknown	Unknown	Transport	Miscellaneous	metal->brass	44.0 cm	28.5 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.006.aa.cs.png
1968.0348.007	Unknown	Unknown	Transport	Miscellaneous	metal->brass	46.0 cm	34.0 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.007.aa.cs.png
1968.0348.008	Unknown	Unknown	Transport	Miscellaneous	metal->brass	51.0 cm	47.0 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.008.aa.cs.png
1968.0348.009	Unknown	Unknown	Transport	Miscellaneous	metal->brass	46.0 cm	34.0 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.009.aa.cs.png
1968.0348.010	Unknown	Unknown	Transport	Miscellaneous	metal->brass	46.0 cm	10.5 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.010.aa.cs.png
1968.0348.011	Unknown	Unknown	Transport	Miscellaneous	metal->brass	45.5 cm	45.0 cm	5.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.011.aa.cs.png
1968.0348.012	Unknown	Unknown	Transport	Miscellaneous	metal->brass	45.5 cm	42.5 cm	5.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0348.012.aa.cs.png
1968.0353.001	Range	1924	Technology	Food processing	metal->nickel;glass->enamel;ceramic->porcelain	88.9 cm	76.7 cm	48.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0353.001.aa.cs.png
1968.0364.001	Iron	1920	Technology	Laundry	metal->cast-iron;metal->steel;wood	21.8 cm	11.5 cm	12.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0364.001.aa.cs.png
1968.0364.002	"""Cord, electrical"""	1920	Technology	Laundry	fibre->;metal->copper;stone->asbestos;synthetic->;synthetic->bakelite;metal->steel;metal->brass	28.0 cm	12.5 cm	8.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0364.002.aa.cs.png
1968.0366.001	Fan	1918	Technology	Environment control	metal->iron	32.5 cm	25.3 cm	24.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0366.001.aa.cs.png
1968.0370.001	Sewing machine	1860	Technology	Textile working	metal->iron;wood	25.0 cm	20.0 cm	37.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0370.001.aa.cs.png
1968.0372.001	Bicycle	1867	Transport	Cycles & cycling	wood->;metal->iron;skin->leather;animal->hair - possible	172.6 cm	67.5 cm	122.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0372.001.aa.cs.png
1968.0377.001	Telephone	1935	Technology	Telephony	metal->steel;metal->brass;metal->copper;synthetic->bakelite;synthetic->plastic;resin->rubber;fibre	22.0 cm	12.3 cm	12.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0377.001.aa.cs.png
1968.0378.001	"""Subset, telephone"""	1951	Technology	Telephony	wood->birch;metal->brass;metal->copper;synthetic->plastic;fibre	22.0 cm	11.4 cm	24.1 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0378.001.aa.cs.png
1968.0379.001	"""Box, battery"""	Unknown	Technology	Telephony	metal->tin	23.5 cm	17.8 cm	7.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0379.001.aa.cs.png
1968.0384.001	Transit part	Unknown	Nature	Measurement-angles	metal->brass;glass->;wood->;skin->leather	40.6 cm	27.9 cm	27.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0384.001.aa.cs.png
1968.0385.001	Transit	1921	Nature	Measurement-angles	metal->brass;glass;wood	44.5 cm	20.3 cm	20.3 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0385.001.aa.cs.png
1968.0386.001	Transit	Unknown	Nature	Measurement-angles	metal->brass;glass;wood	35.6 cm	24.1 cm	21.6 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0386.001.aa.cs.png
1968.0387.001	Theodolite	1910	Nature	Measurement-angles	metal->brass;glass	43.2 cm	40.6 cm	22.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0387.001.aa.cs.png
1968.0388.001	"""Astrolabe, prismatic"""	1930	Nature	Measurement-position	metal->brass;metal->aluminum;metal->white metal;glass->;wood->;skin->leather	40.6 cm	29.2 cm	26.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0388.001.aa.cs.png
1968.0389.001	Calculator	1905	Numbers	Calculating devices	metal->brass	64.8 cm	28.6 cm	17.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0389.001.aa.cs.png
1968.0391.001	Level	Unknown	Nature	Measurement-distance	metal->;glass->;wood->;skin->leather	37.7 cm	12.7 cm	19.1 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0391.001.aa.cs.png
1968.0392.001	Camera	1890	Craft	Still cameras	wood->mahogany;metal->aluminum;metal->brass;skin->leather;bone->ivory	15.2 cm	20.3 cm	17.1 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0392.001.aa.cs.png
1968.0394.001	Theodolite	1910	Nature	Measurement-angles	metal->brass;metal->aluminum;metal->white metal;glass->;wood->;paper->;skin->leather	30.5 cm	29.2 cm	39.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0394.001.aa.cs.png
1968.0395.001	"""Player, disk"""	1927	Technology	Sound	wood;metal	121.9 cm	121.9 cm	152.4 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0395.001.aa.cs.png
1968.0399.001	"""Washer, wringer"""	Unknown	Technology	Laundry	metal->cast-iron;metal->copper;metal->tin;resin;wood	71.0 cm	57.0 cm	120.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0399.001.aa.cs.png
1968.0407.001	"""Bell ringer, emergency"""	1948	Technology	Telephony	metal->;glass->;synthetic->bakelite;synthetic->plastic;ceramic;paper	37.0 cm	22.0 cm	20.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0407.001.aa.cs.png
1968.0410.001	Telephone	Unknown	Technology	Telephony	synthetic->plastic;paper->;metal->brass;metal->steel;resin->rubber;wood	21.4 cm	14.5 cm	12.7 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0410.001.aa.cs.png
1968.0413.001	"""Panel, alarm"""	Unknown	Technology	Telephony	metal->steel;synthetic->plastic	17.6 cm	12.6 cm	9.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0413.001.aa.cs.png
1968.0419.001	"""Mill, fanning"""	Unknown	Nature	Crop processing	wood->;metal->iron	91.4 cm	152.4 cm	109.2 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0419.001.aa.cs.png
1968.0421.001	Switching system	1928	Technology	Telephony	Unknown	91.4 cm	198.1 cm	22.9 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0421.001.aa.cs.png
1968.0428.001	Power plant	1940	Technology	Telephony	metal;synthetic;glass	60.0 cm	42.0 cm	145.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0428.001.aa.cs.png
1968.0431.001	"""Receiver, radio"""	1943	Technology	Radio	metal->steel;synthetic;glass	55.5 cm	53.5 cm	212.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0431.001.aa.cs.png
1968.0439.001	Fire engine	1930	Transport	Fire engines	metal->;resin->rubber;skin->leather;animal->hair - possible;glass;wood	700.0 cm	210.0 cm	220.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0439.001.aa.cs.png
1968.0440.001	"""Test set, vacuum tube"""	1935	Technology	Service-test equipment	wood->;metal->;synthetic->;skin->leather;glass	30.5 cm	30.5 cm	14.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0440.001.aa.cs.png
1968.0441.001	"""Table, plotting"""	1968	Transport	Navigation instruments & equipment	wood->;synthetic->plexiglass;metal	112.5 cm	81.7 cm	12.5 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0441.001.aa.cs.png
1968.0441.002	Unknown	Unknown	Transport	Navigation instruments & equipment	wood->;synthetic->plexiglass;metal	88.2 cm	63.6 cm	7.0 cm	http://source.techno-science.ca/artifacts-artefacts/images/1968.0441.002.aa.cs.png
